Year,age,KM,Price,location,Victoria
1998,17,156912,2480,Burnaby,other
1998,17,175000,3900,Coquitlam,other
1998,17,,4000,Duncan,other
1998,17,166000,4800,Gulf Islands,other
1998,17,75370,5990,Burnaby,other
1998,17,134732,6350,Kelowna,other
1999,16,277500,2150,Surrey,other
1999,16,,3995,Duncan,other
1999,16,160000,4900,Burnaby,other
1999,16,280219,4995,Vancouver,other
1999,16,131000,5500,Vancouver,other
1999,16,156244,5964,Victoria,Victoria
1999,16,75370,5990,Burnaby,other
1999,16,62361,6490,Burnaby,other
1999,16,42192,6890,Burnaby,other
2000,15,261460,2500,Victoria,Victoria
2000,15,225000,2650,Vancouver,other
2000,15,249000,3500,Victoria,Victoria
2000,15,148000,4000,Vancouver,other
2000,15,156000,4500,Surrey,other
2000,15,170000,4800,Surrey,other
2000,15,,4995,Surrey,other
2001,14,130000,3999,Vancouver,other
2001,14,14880,4000,Kamloops,other
2001,14,,4307,BlackBook,other
2001,14,154927,4888,Vancouver,other
2001,14,,6000,Burnaby,other
2002,13,245000,4000,Squamish,other
2002,13,107500,8989,Vancouver,other
2003,12,171000,5900,Surrey,other
2003,12,,6200,Vancouver,other
2003,12,88000,7990,Kelowna,other
2004,11,175000,3995,Burnaby,other
2004,11,,7000,Burnaby,other
2004,11,158000,7950,Victoria,Victoria
2005,10,56696,9920,Victoria,Victoria
2006,9,110000,8800,Surrey,other
2006,9,97950,12900,Duncan,other
2007,8,85681,12995,Kelowna,other
2009,6,9900,15995,Vancouver,other
2010,5,115783,13900,Surrey,other
2010,5,115783,13900,Vancouver,other
2010,5,68000,15995,Victoria,Victoria
2000,15,147717,3900,Vancouver,other
2001,14,150000,5000,Vancouver,other
