Date,Group,Increase,Index
2006-01-01,BCGEU,,100
2006-04-01,BCGEU,,100
2006-04-02,BCGEU,2.5,102.5
2007-03-31,BCGEU,,102.5
2007-04-01,BCGEU,3,105.575
2008-03-29,BCGEU,,105.575
2008-03-30,BCGEU,2.5,108.214375
2009-03-28,BCGEU,,108.214375
2009-03-29,BCGEU,2,110.3786625
2012-03-31,BCGEU,,110.3786625
2012-04-01,BCGEU,1,111.4824491
2012-06-14,BCGEU,,111.4824491
2012-06-15,BCGEU,1,112.5972736
2013-03-31,BCGEU,,112.5972736
2013-04-01,BCGEU,1,113.7232464
2013-11-30,BCGEU,,113.7232464
2013-12-01,BCGEU,1,114.8604788
2015-04-04,BCGEU,,114.8604788
2015-04-05,BCGEU,1,116.0090836
2016-02-06,BCGEU,,116.0090836
2016-02-07,BCGEU,0.45,116.5311245
2016-04-02,BCGEU,,116.5311245
2016-04-03,BCGEU,0.5,117.1137801
2006-01-01,Excluded,,100
2006-04-01,Excluded,,100
2006-04-02,Excluded,2.5,102.5
2008-03-29,Excluded,,102.5
2008-03-30,Excluded,2.5,105.0625
2009-03-28,Excluded,,105.0625
2009-03-29,Excluded,2.5,107.6890625
2014-03-23,Excluded,,107.6890625
2014-03-24,Excluded,3,110.9197344
2016-04-02,Excluded,,110.9197344
2016-04-03,Excluded,0,110.9197344
