Date,Group,Increase,Index
2006-04-02,BCGEU,2.5,102.5
2007-04-01,BCGEU,3,105.575
2008-03-30,BCGEU,2.5,108.214375
2009-03-29,BCGEU,2,110.3786625
2012-04-01,BCGEU,1,111.4824491
2012-06-15,BCGEU,1,112.5972736
2013-04-01,BCGEU,1,113.7232464
2013-12-01,BCGEU,1,114.8604788
2015-04-05,BCGEU,1,116.0090836
2016-02-07,BCGEU,0.45,116.5311245
2016-04-03,BCGEU,0.5,117.1137801
2017-02-05,BCGEU,1,118.2849179
2017-04-02,BCGEU,0.5,118.8763425
2018-02-04,BCGEU,1,120.0651059
2018-04-01,BCGEU,0.5,120.6654314
2019-02-03,BCGEU,1,121.8720858
2006-04-02,Excluded,2.5,102.5
2008-03-30,Excluded,2.5,105.0625
2009-03-29,Excluded,2.5,107.6890625
2014-03-24,Excluded,3,110.9197344
