Date,Time,O3,SO2,NO2,NO,NOx,CO,PM25_TEOM,PM25
5/31/2018,24:00 AM,35,0,0.2,0.2,0.4,0.091,,2
6/1/2018,1:00 AM,35.1,0,0.2,0.2,0.4,0.115,,4
6/1/2018,2:00 AM,34.9,0,0,0.2,0.3,0.119,,4
6/1/2018,3:00 AM,34.3,0,0.2,0,0.3,0.122,,5
6/1/2018,4:00 AM,33.9,0,0.6,0.2,0.8,0.124,,5
6/1/2018,5:00 AM,30.7,0,1.6,0.5,2.2,0.133,,3
6/1/2018,6:00 AM,27.4,0,2.8,0.6,3.4,0.166,,2
6/1/2018,7:00 AM,18.1,0.1,5.9,2.5,8.4,0.209,,5
6/1/2018,8:00 AM,24,0.1,4,2.2,6.3,0.203,,3
6/1/2018,9:00 AM,30.4,0,1.4,0.6,2,0.158,,6
6/1/2018,10:00 AM,30.8,0,1.2,0.5,1.8,0.148,,5
6/1/2018,11:00 AM,34.1,0,0.6,0.7,1.3,0.144,,2
6/1/2018,12:00 PM,35.8,0,0.3,0.4,0.8,0.143,,6
6/1/2018,1:00 PM,33.7,0,1,0.7,1.8,0.14,,9
6/1/2018,2:00 PM,35.5,0,0.7,0.5,1.3,0.129,,8
6/1/2018,3:00 PM,35.5,0,0.7,0.4,1.2,0.13,,7
6/1/2018,4:00 PM,34,0,1.3,0.4,1.7,0.143,,5
6/1/2018,5:00 PM,35.2,0,0.8,0.3,1.2,0.133,,5
6/1/2018,6:00 PM,,,,,,,,4
6/1/2018,7:00 PM,36.4,0,1.1,0.1,1.3,0.136,,5
6/1/2018,8:00 PM,26.6,0,3,0.4,3.4,0.211,,6
6/1/2018,9:00 PM,21.6,0,3.6,0.2,3.9,0.211,,7
6/1/2018,10:00 PM,18,0,3.4,0.1,3.6,0.21,,6
6/1/2018,11:00 PM,19,0,2.7,0.5,3.2,0.204,,8
6/1/2018,24:00 AM,23.6,0,1.9,0.3,2.3,0.165,,9
6/2/2018,1:00 AM,28.2,0,1,0.1,1.2,0.159,,8
6/2/2018,2:00 AM,25.2,0,1.1,0.2,1.4,0.167,,7
6/2/2018,3:00 AM,24.2,0,1.2,0,1.2,0.168,,6
6/2/2018,4:00 AM,23.4,0,1.3,0,1.4,0.167,,4
6/2/2018,5:00 AM,17.5,0,1.8,0,1.9,0.169,,5
6/2/2018,6:00 AM,16,0,2.1,0.4,2.5,0.194,,7
6/2/2018,7:00 AM,14,0,3.4,1.4,4.8,0.213,,7
6/2/2018,8:00 AM,21.2,0.1,2.3,0.9,3.3,0.199,,10
6/2/2018,9:00 AM,22.5,0.1,1.6,1.1,2.8,0.186,,7
6/2/2018,10:00 AM,20.8,0.1,2.1,1.8,3.9,0.2,,7
6/2/2018,11:00 AM,19.2,0.3,4.3,4.4,8.7,0.239,,6
6/2/2018,12:00 PM,23.2,0.3,3.7,3.2,7,0.236,,8
6/2/2018,1:00 PM,28.7,0.2,3.1,2,5.2,0.191,,7
6/2/2018,2:00 PM,29.1,0.3,5,3.4,8.5,0.193,,7
6/2/2018,3:00 PM,32.7,0.2,3,1.6,4.7,0.19,,8
6/2/2018,4:00 PM,21.9,0.3,4.6,3.9,8.5,0.171,,5
6/2/2018,5:00 PM,,,,,,,,2
6/2/2018,6:00 PM,22.6,0.5,4.9,4.8,9.7,0.151,,1
6/2/2018,7:00 PM,15.4,0.6,6.1,5.9,12.1,0.165,,3
6/2/2018,8:00 PM,10.3,0.5,7.8,5.8,13.6,0.169,,4
6/2/2018,9:00 PM,19.5,0.1,4.1,1,5.1,0.17,,4
6/2/2018,10:00 PM,23.5,0,2.2,0.4,2.6,0.166,,3
6/2/2018,11:00 PM,23.1,0,2.1,0.1,2.3,0.154,,4
6/2/2018,24:00 AM,15.4,0.4,5.1,5.5,10.7,0.14,,5
6/3/2018,1:00 AM,23.6,0,1,0.1,1.2,0.129,,7
6/3/2018,2:00 AM,24.3,0,0.4,0.2,0.7,0.126,,8
6/3/2018,3:00 AM,25,0,0.4,0.1,0.6,0.122,,7
6/3/2018,4:00 AM,26.1,0,1,0.1,1.1,0.124,,6
6/3/2018,5:00 AM,26.9,0,1,0.3,1.3,0.123,,5
6/3/2018,6:00 AM,26.6,0,1.3,0.3,1.6,0.129,,5
6/3/2018,7:00 AM,3.1,1.7,11.5,19.7,31.2,0.141,,13
6/3/2018,8:00 AM,25.8,0.6,3.4,3.3,6.7,0.139,,7
6/3/2018,9:00 AM,14.9,0.9,7.4,12.3,19.8,0.156,,7
6/3/2018,10:00 AM,17.4,1.2,6.8,8,14.8,0.165,,6
6/3/2018,11:00 AM,29.3,0.2,1.8,0.7,2.6,0.161,,6
6/3/2018,12:00 PM,31.9,0,1.4,0.7,2.2,0.17,,6
6/3/2018,1:00 PM,31.8,0.1,1.7,1.2,3,0.162,,5
6/3/2018,2:00 PM,29.8,0.4,3.9,3.7,7.7,0.162,,3
6/3/2018,3:00 PM,36.1,0.1,1.4,0.5,2,0.158,,5
6/3/2018,4:00 PM,,,,,,,,3
6/3/2018,5:00 PM,36.1,0.1,1.8,1.1,2.9,0.142,,4
6/3/2018,6:00 PM,42.5,0,0.3,0.3,0.6,0.123,,4
6/3/2018,7:00 PM,40.6,0,0.6,0.2,0.9,0.12,,2
6/3/2018,8:00 PM,41.9,0,0.5,0.3,0.8,0.124,,3
6/3/2018,9:00 PM,43.1,0,0.3,0.2,0.5,0.118,,3
6/3/2018,10:00 PM,40.9,0,0.2,0.2,0.5,0.12,,2
6/3/2018,11:00 PM,38.8,0,0.1,0.2,0.3,0.113,,6
6/3/2018,24:00 AM,38.7,0,0.2,0,0.3,0.116,,5
6/4/2018,1:00 AM,36.1,0,0.7,0.2,0.9,0.114,,4
6/4/2018,2:00 AM,35.8,0,0.4,0.1,0.6,0.115,,4
6/4/2018,3:00 AM,34.2,0,0.6,0.2,0.8,0.114,,5
6/4/2018,4:00 AM,30.4,0,1.2,0.1,1.3,0.118,,3
6/4/2018,5:00 AM,28.9,0,1.6,0.3,2,0.134,,0
6/4/2018,6:00 AM,22.3,0.1,5,2.2,7.2,0.175,,6
6/4/2018,7:00 AM,28.6,0.2,3.1,1.6,4.7,0.181,,7
6/4/2018,8:00 AM,33.2,0,2.2,1.3,3.5,0.167,,5
6/4/2018,9:00 AM,34.9,0,1.7,1.2,2.9,0.157,,6
6/4/2018,10:00 AM,36.6,0,1.3,1,2.3,0.143,,6
6/4/2018,11:00 AM,35.3,0,1.4,1,2.5,0.141,,7
6/4/2018,12:00 PM,35.5,0,1,1.2,2.3,0.134,,5
6/4/2018,1:00 PM,33.9,0,1.4,1.4,2.8,0.153,,6
6/4/2018,2:00 PM,33.1,0,1.2,1.4,2.7,0.161,,7
6/4/2018,3:00 PM,,,,,,,,6
6/4/2018,4:00 PM,33.1,0,1.3,1.2,2.6,0.169,,3
6/4/2018,5:00 PM,33.4,0,1.6,1.1,2.8,0.167,,6
6/4/2018,6:00 PM,32.8,0.1,2.3,1.1,3.4,0.153,,8
6/4/2018,7:00 PM,28,0.3,4.3,1.4,5.8,0.154,,6
6/4/2018,8:00 PM,33.9,0,2.1,0.3,2.5,0.151,,4
6/4/2018,9:00 PM,33.3,0,2.2,0.2,2.5,0.14,,4
6/4/2018,10:00 PM,35.5,0,0.9,0.2,1.2,0.135,,5
6/4/2018,11:00 PM,33.7,0,1,0.2,1.2,0.111,,6
6/4/2018,24:00 AM,30.2,0,1.8,0.2,2.1,0.134,,5
6/5/2018,1:00 AM,26.2,0,3.8,0,3.9,0.083,,2
6/5/2018,2:00 AM,28.1,0,1.2,0,1.2,0.091,,1
6/5/2018,3:00 AM,31.9,0,0.5,0.1,0.6,0.084,,3
6/5/2018,4:00 AM,24.9,0,1.1,0.3,1.4,0.1,,8
6/5/2018,5:00 AM,20.1,0,2.5,0.4,2.9,0.118,,7
6/5/2018,6:00 AM,24.6,0,3.1,0.6,3.7,0.138,,5
6/5/2018,7:00 AM,22.8,1.3,4.4,1,5.5,0.159,,6
6/5/2018,8:00 AM,25.1,0.1,3.4,0.9,4.4,0.155,,5
6/5/2018,9:00 AM,,0,2.7,1.1,3.8,0.119,,6
6/5/2018,10:00 AM,,0,2,0.6,2.7,0.106,,5
6/5/2018,11:00 AM,,0.1,1.5,0.7,2.3,0.105,,4
6/5/2018,12:00 PM,,0,,,,0.098,,3
