unique.x,unique.y
Till Fellner,Bach: Inventionen und Sinfonien & Französische Suite V
Kim Kashkashian & Robert Levin,Brahms: Sonaten für Viola und Klavier
Michelle Makarski,"Caoine - Biber, Hartke, Reger, Rochberg, Bach"
Saulius Sondeckis & Lithuanian Chamber Orchestra,Litany
"The Hilliard Ensemble, Tönu Kaljuste, Tallinn Chamber Orchestra & Estonian Philharmonic Chamber Choir",Litany
Monika Mauch & Nigel North,Musical Banquet
Nigel North,Musical Banquet
Houston Chamber Choir & Robert Simpson,Rothko Chapel - Morton Feldman / Erik Satie / John Cage
"Kim Kashkashian, Robert Simpson, Houston Chamber Choir, Sarah Rothenberg, Steven Schick, Sonja Bruzauskas & Lauren Snouffer",Rothko Chapel - Morton Feldman / Erik Satie / John Cage
Robert Simpson & Houston Chamber Choir,Rothko Chapel - Morton Feldman / Erik Satie / John Cage
Sarah Rothenberg,Rothko Chapel - Morton Feldman / Erik Satie / John Cage
Gidon Kremer & Kremerata Baltica,Schubert: String Quartet in G Major
Duo Gazzana,"Takemitsu, Hindemith, Janá?ek, Silvestrov: Five Pieces"
Michelle Makarski,To Be Sung On the Water
Michelle Makarski & Ronald Copes,To Be Sung On the Water
