unique.x,unique.y
Charles Lloyd,All My Relations
Steve Swallow,Always Pack Your Uniform On Top
Anat Fort Trio,And If
Peter Erskine,As It Is
Paul Bley,Ballads
David Torn,Best Laid Plans
John Abercrombie,Current Events
Steve Eliovson & Collin Walcott,Dawn Dance
"Kenny Wheeler, Michael Brecker, John Taylor, David Holland & Jack DeJohnette","Double Double, You"
Enrico Rava Quartet,Enrico Rava Quartet
"Richard Beirach, Frank Tusa & Jeff Williams",Eon
Keith Jarrett,Facing You
"Gary Burton, Pat Metheny, Scott Colley, Danny Gottlieb, SWR Big Band & Helge Sunde",Hommage à Eberhard Weber (Live)
"Gary Burton, SWR Big Band & Helge Sunde",Hommage à Eberhard Weber (Live)
Jan Garbarek,Hommage à Eberhard Weber (Live)
"Paul McCandless, Gary Burton, SWR Big Band & Helge Sunde",Hommage à Eberhard Weber (Live)
"Paul McCandless, Gary Burton, SWR Big Band & Mike Gibbs",Hommage à Eberhard Weber (Live)
Gary Burton & Steve Swallow,Hotel Hello
Keith Jarrett,In the Light
Jan Garbarek,It's OK to Listen to the Gray Voice
Paul Motian,It Should've Happened a Long Time Ago (With Bill Frisell & Joe Lovano)
Paul Motian Trio,It Should've Happened a Long Time Ago (With Bill Frisell & Joe Lovano)
Marcin Wasilewski Trio,January
"Peter Erskine, Palle Danielsson & John Taylor",Juni
Ralph Towner,My Foolish Heart
"John Abercrombie, Jan Hammer, Jack DeJohnette & Michael Brecker",Night
Oregon,Oregon
Jan Garbarek,Paths Prints
Paul Bley & Gary Peacock,Paul Bley With Gary Peacock
Jan Garbarek,"Photo With Blue Sky, White Cloud, Wires, Windows and a Red R"
Jan Garbarek,Places
Paul Motian,Psalm
Steve Swallow,Real Book
Marc Johnson's Bass Desires,Second Sight
"Gary Peacock, Art Lande & Eliot Zigmund",Shift In the Wind
Jacob Young,Sideways
"Gary Peacock, Keith Jarrett & Jack DeJohnette",Tales of Another
"Enrico Rava, John Abercrombie, Palle Danielsson & Jon Christensen",The Pilgrim and the Stars
Enrico Rava,The Plot
"Peter Erskine, John Taylor & Palle Danielsson",Time Being
"Peter Erskine, Palle Danielsson & John Taylor",Time Being
Paul Motian,Tribute
Pat Metheny,Watercolors
Mark Isham & Art Lande,We Begin
Pat Metheny,Works
Pat Metheny & Lyle Mays,Works
Pat Metheny Group,Works
Pat Metheny,Works II
Pat Metheny Group,Works II
"John Taylor, Palle Danielsson & Peter Erskine",You Never Know
