Name,Artist,Composer,Album,Grouping,Work,Movement Number,Movement Count,Movement Name,Genre,Size,Time,Disc Number,Disc Count,Track Number,Track Count,Year,Date Modified,Date Added,Bit Rate,Sample Rate,Volume Adjustment,Kind,Equalizer,Comments,Plays,Last Played,Skips,Last Skipped,My Rating,Location
White Noise of Forgetfulness,Jan Garbarek,Jan Garbarek & Tomas Transtromer,It's OK to Listen to the Gray Voice,,,,,,Jazz,17581999,504,1,1,1,7,1985,2017-04-26 19:42,2017-05-13 20:47,256,44100,,Purchased AAC audio file,,,4,2017-05-10 13:05,,,,E:\iTunes_library\Music\Jan Garbarek Group\It's OK to Listen to the Gray Voice\01 White Noise of Forgetfulness.m4a
The Crossing Place,Jan Garbarek,Jan Garbarek & Tomas Transtromer,It's OK to Listen to the Gray Voice,,,,,,Pop,18873529,554,1,1,2,7,1985,2017-04-26 19:36,2017-05-13 20:47,256,44100,,Purchased AAC audio file,,,4,2017-05-10 18:01,,,,E:\iTunes_library\Music\Jan Garbarek Group\It's OK to Listen to the Gray Voice\02 The Crossing Place.m4a
One Day In March I Go Down to the Sea and Listen,Jan Garbarek,Jan Garbarek & Tomas Transtromer,It's OK to Listen to the Gray Voice,,,,,,Pop,11836089,338,1,1,3,7,1985,2017-04-26 19:36,2017-05-13 20:47,256,44100,,Purchased AAC audio file,,,3,2017-05-10 18:07,,,,E:\iTunes_library\Music\Jan Garbarek Group\It's OK to Listen to the Gray Voice\03 One Day In March I Go Down to the.m4a
Mission: To Be Where I Am,Jan Garbarek,Jan Garbarek & Tomas Transtromer,It's OK to Listen to the Gray Voice,,,,,,Pop,16965480,496,1,1,4,7,1985,2017-04-26 19:37,2017-05-13 20:47,256,44100,,Purchased AAC audio file,,,3,2017-05-10 18:15,,,,E:\iTunes_library\Music\Jan Garbarek Group\It's OK to Listen to the Gray Voice\04 Mission_ To Be Where I Am.m4a
It's Ok to Phone the Island That Is a Mirage,Jan Garbarek,Jan Garbarek & Tomas Transtromer,It's OK to Listen to the Gray Voice,,,,,,Pop,12263145,353,1,1,5,7,1985,2017-04-26 19:37,2017-05-13 20:47,256,44100,,Purchased AAC audio file,,,3,2017-05-10 18:21,,,,E:\iTunes_library\Music\Jan Garbarek Group\It's OK to Listen to the Gray Voice\05 It's Ok to Phone the Island That.m4a
It's Ok to Listen to the Gray Voice,Jan Garbarek,Jan Garbarek & Tomas Transtromer,It's OK to Listen to the Gray Voice,,,,,,Pop,9879267,281,1,1,6,7,1985,2017-04-26 19:37,2017-05-13 20:47,256,44100,,Purchased AAC audio file,,,3,2017-05-10 18:25,,,,E:\iTunes_library\Music\Jan Garbarek Group\It's OK to Listen to the Gray Voice\06 It's Ok to Listen to the Gray Voi.m4a
I'm the Knife-Thrower's Partner,Jan Garbarek,Jan Garbarek & Tomas Transtromer,It's OK to Listen to the Gray Voice,,,,,,Pop,2517004,59,1,1,7,7,1985,2017-04-26 19:37,2017-05-13 20:47,256,44100,,Purchased AAC audio file,,,3,2017-05-10 18:44,,,,E:\iTunes_library\Music\Jan Garbarek Group\It's OK to Listen to the Gray Voice\07 I'm the Knife-Thrower's Partner.m4a
Pilgrim,Ralph Towner,Ralph Towner,My Foolish Heart,,,,,,Jazz,9425433,271,1,1,1,12,2017,2017-05-13 20:36,2017-02-06 18:15,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Ralph Towner\My Foolish Heart\01 Pilgrim.m4a
I'll Sing to You,Ralph Towner,Ralph Towner,My Foolish Heart,,,,,,Jazz,9371243,272,1,1,2,12,2017,2017-05-13 20:36,2017-02-06 18:15,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Ralph Towner\My Foolish Heart\02 I'll Sing to You.m4a
Saunter,Ralph Towner,Ralph Towner,My Foolish Heart,,,,,,Jazz,10358613,301,1,1,3,12,2017,2017-05-13 20:36,2017-02-06 18:15,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Ralph Towner\My Foolish Heart\03 Saunter.m4a
My Foolish Heart,Ralph Towner,Victor Young,My Foolish Heart,,,,,,Jazz,8072012,231,1,1,4,12,2017,2017-05-13 20:36,2017-02-06 18:15,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Ralph Towner\My Foolish Heart\04 My Foolish Heart.m4a
Dolomiti Dance,Ralph Towner,Ralph Towner,My Foolish Heart,,,,,,Jazz,9160759,264,1,1,5,12,2017,2017-05-13 20:36,2017-02-06 18:15,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Ralph Towner\My Foolish Heart\05 Dolomiti Dance.m4a
Clarion Call,Ralph Towner,Ralph Towner,My Foolish Heart,,,,,,Jazz,9698947,280,1,1,6,12,2017,2017-05-13 20:36,2017-02-06 18:15,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Ralph Towner\My Foolish Heart\06 Clarion Call.m4a
Two Poets,Ralph Towner,Ralph Towner,My Foolish Heart,,,,,,Jazz,4586060,124,1,1,7,12,2017,2017-05-13 20:36,2017-02-06 18:15,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Ralph Towner\My Foolish Heart\07 Two Poets.m4a
Shard,Ralph Towner,Ralph Towner,My Foolish Heart,,,,,,Jazz,2292783,54,1,1,8,12,2017,2017-05-13 20:36,2017-02-06 18:15,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Ralph Towner\My Foolish Heart\08 Shard.m4a
Ubi Sunt,Ralph Towner,Ralph Towner,My Foolish Heart,,,,,,Jazz,3119584,80,1,1,9,12,2017,2017-05-13 20:36,2017-02-06 18:15,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Ralph Towner\My Foolish Heart\09 Ubi Sunt.m4a
Biding Time,Ralph Towner,Ralph Towner,My Foolish Heart,,,,,,Jazz,3410550,89,1,1,10,12,2017,2017-05-13 20:36,2017-02-06 18:15,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Ralph Towner\My Foolish Heart\10 Biding Time.m4a
Blue as in Bley,Ralph Towner,Ralph Towner,My Foolish Heart,,,,,,Jazz,8186449,233,1,1,11,12,2017,2017-05-13 20:36,2017-02-06 18:15,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Ralph Towner\My Foolish Heart\11 Blue as in Bley.m4a
