ECM No.,LP,CD,Year,Artist,Title,Comments,Number,range
ECM 1009,NO,YES,1971,Chick Corea / David Holland / Barry Altschul,A. R. C.,E,1009,10
ECM 1022,NO,YES,1972,Chick Corea,Return To Forever,,1022,10
ECM 1023,YES,YES,1973,Paul Bley,"Open, To Love",P,1023,10
ECM 1024,YES,YES,1973,Gary Burton / Chick Corea,Crystal Silence,E+P,1024,10
ECM 1025,NO,YES,1973,Ralph Towner / Glen Moore,Trios Solos,,1025,10
ECM 1032,YES,YES,1974,Ralph Towner,Diary,P,1032,10
ECM 1038,YES,NO,1974,Art Lande / Jan Garbarek,Red Lanta,P,1038,10
ECM 1041,NO,YES,1974,Jan Garbarek / Bobo Stenson Quartet,Witchi - Tai - To,,1041,10
ECM 1042,YES,NO,1973,Eberhard Weber,The Colours of Chloe,P,1042,10
ECM 1047,NO,YES,1975,John Abercrombie,Timeless,E,1047,10
ECM 1050,YES,YES,1974,Keith Jarrett,Belonging,P,1050,10
ECM 1051,YES,NO,1974,Gary Burton Quintet with Eberhard Weber,Ring,P,1051,10
ECM 1056,YES,YES,1975,Ralph Towner / Gary Burton,-Matchbook-,P,1056,10
ECM 1057,YES,NO,1975,Bill Connors,Theme To The Gaurdian,P,1057,10
ECM 1060,YES,YES,1975,Ralph Towner,Solstice,P,1060,10
ECM 1061,NO,YES,1975,John Abercrombie / David Holland / Jack DeJohnette,Gateway,,1061,10
ECM 1064/65,YES,YES,1975,Keith Jarrett,The Köln Concert,P,1064,10
ECM 1067/68,NO,YES,1975,Terje Rypdal,Odyssey,E,1067,10
ECM 1069,NO,YES,1976,Kenny Wheeler,Gnu High,,1069,10
ECM 1073,YES,YES,1976,Pat Metheny,Bright Size Life,P,1073,10
ECM 1080,YES,YES,1976,Ralph Towner / John Abercrombie,Sargasso Sea,P,1080,10
ECM 1089,NO,YES,1977,Egberto Gismonti,Danca Das Cabecas,E,1089,10
ECM 1090/91,YES,YES,1977,Keith Jarrett,StaircaseHourglassSundialSand,P,1090,10
ECM 1092,YES,NO,1977,The Gary Burton Quartet with Eberhard Weber,Passengers,P,1092,10
ECM 1093,YES,YES,1977,Jan Garbarek,Dis,P,1093,10
ECM 1095,NO,YES,1977,Ralph Towner / Solstice,Sound And Shadows,,1095,10
ECM 1097,YES,NO,1977,Pat Metheny,Watercolors,P,1097,10
ECM 1102,NO,YES,1978,Kenny Wheeler,Deer Wan,E,1102,11
ECM 1104,YES,NO,1978,Richard Beirach,Hubris,P,1104,11
ECM 1114,YES,YES,1978,Pat Metheny Group,,P,1114,11
ECM 1115,NO,YES,1978,Keith Jarrett,My Song,,1115,11
ECM 1116,YES,YES,1978,Egberto Gismonti,Sol do meio dia,P,1116,11
ECM 1117,NO,YES,1978,John Abercrombie,Characters,,1117,11
ECM 1118,YES,NO,1978,Jan Garbarek,Places,P,1118,11
ECM 1120,YES,NO,1978,Bill Connors,Of Mist And Melting,P,1120,11
ECM 1121,YES,YES,1978,Ralph Towner,Batik,P,1121,11
ECM 1124,YES,NO,1978,Steve Kuhn,Nonfiction,P,1124,11
ECM 1125,NO,YES,1978,Terje Rypdal / Miroslav Vitous / Jack DeJohnette,,,1125,11
ECM 1129?NS,NO,YES,1978,Steve Reich,Music For 18 Musicians,,1129,11
ECM 1130,YES,NO,1978,Azimuth,The Touchstone,E+P,1130,11
ECM 1131,YES,YES,1979,Pat Metheny,New Chautauqua,P,1131,11
ECM 1136,NO,YES,1979,Egberto Gismonti,Solo,,1136,11
ECM 1137,YES,NO,1979,Eberhard Weber,Fluid Rustle,P,1137,11
ECM 1140,YES,YES,1979,Gary Burton / Chick Corea,Duet,E+P,1140,11
ECM 1151,NO,YES,1980,Charlie Haden / Jan Garbarek / Egberto Gismonti,Magico,,1151,11
ECM 1153,YES,YES,1979,Ralph Towner,"Old Friends, New Friends",P,1153,11
ECM 1155,YES,YES,1979,Pat Metheny Group,American Garage,P,1155,11
ECM 1156,YES,YES,1980,Kenny Wheeler,Around Six,P,1156,11
ECM 1158,YES,NO,1980,Bill Connors,Swimming With A Hole In My Body,P,1158,11
ECM 1168?NS,YES,YES,1980,Steve Reich and Musicians,Octet - Music for a Large Ensemble - Violin Phase,P,1168,11
ECM 1170,NO,YES,1981,Charlie Haden / Jan Garbarek / Egberto Gismonti,Folk Songs,,1170,11
ECM 1173,YES,YES,1980,Ralph Towner,Solo Concert,P,1173,11
ECM 1180/81,YES,YES,1980,Pat Metheny,80/81,P,1180,11
ECM 1182/83,YES,YES,1980,Chick Corea / Gary Burton,"In Concert, Zürich, October 28, 1979",E+P,1182,11
ECM 1184,YES,NO,1981,Gary Burton Quartet,Easy As Pie,P,1184,11
ECM 1186,YES,NO,1980,Eberhard Weber & Colours,Little Movements,E+P,1186,11
ECM 1190,YES,YES,1981,Pat Metheny / Lyle Mays / Nana Vasconcelos,"As Falls Wichita, So Falls Wichita Falls",P,1190,11
ECM 1200,NO,YES,1981,Jan Garbarek / John Abercrombie / Nana Vasconcelos,Eventyr,,1200,12
ECM 1205,YES,YES,1981,Old And New Dreams,Playing,P,1205,12
ECM 1207,YES,YES,1982,Ralph Towner / John Abercrombie,Five Years Later,P,1207,12
ECM 1216,YES,YES,1982,Pat Metheny Group,Offramp,P,1216,12
ECM 1226,YES,NO,1982,Gary Burton Quartet,Picture This,P,1226,12
ECM 1232/33,NO,YES,1982,Chick Corea,Trio Music,,1232,12
ECM 1241,NO,YES,1983,Bill Frisell,In Line,E,1241,12
ECM 1248,YES,NO,1983,Charlie Haden,The Ballad Of The Fallen,P,1248,12
ECM 1250,YES,YES,1983,Ralph Towner,Blue Sun,P,1250,12
ECM 1252/53,YES,YES,1983,Pat Metheny Group,Travels,P,1252,12
ECM 1255,NO,YES,1985,Keith Jarrett / Gary Peacock / Jack DeJohnette,"Standards, Vol. 1",E,1255,12
ECM 1258,YES,NO,1983,Oregon,,P,1258,12
