Song,Duration,AlbumArtist,Artist,Album,LastPlayed
Nearly Forgot My Broken Heart,3:54,Chris Cornell,Chris Cornell,Higher Truth,2017-01-08 13:26
Kiss the Sky,3:42,Jason Derulo,Jason Derulo,Platinum Hits,2017-01-08 13:33
11:11,3:41,Arkells,Arkells,High Noon,2017-01-08 13:37
The Greatest (feat. Kendrick Lamar),3:31,Sia,Sia,The Greatest (feat. Kendrick Lamar) - Single,2017-01-08 13:40
In Common,3:29,Alicia Keys,Alicia Keys,In Common - Single,2017-01-08 13:44
Everything I Do Gonh Be Funky (From Now On),3:16,Madeleine Peyroux,Madeleine Peyroux,Secular Hymns,2017-01-08 13:47
Carry On,2:48,Norah Jones,Norah Jones,Day Breaks,2017-01-08 13:50
Follow You Follow Me (feat. Adaline),3:19,Vapor,Vapor,Follow You Follow Me (feat. Adaline) - Single,2017-01-08 13:53
"CAN'T STOP THE FEELING! (Original Song From DreamWorks Animation's ""Trolls"")",3:56,Justin Timberlake,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song From DreamWorks Animation's ""Trolls"") - Single",2017-01-08 13:57
"Good Girls (from the ""Ghostbusters"" Original Motion Picture Soundtrack)",2:57,Elle King,Elle King,"Good Girls (from the ""Ghostbusters"" Original Motion Picture Soundtrack) - Single",2017-01-08 14:00
Like the Dawn (David K. Radio Mix),3:22,The Oh Hellos,The Oh Hellos,Like the Dawn (David K. Radio Mix) - Single,2017-01-08 14:03
What's It Gonna Be?,3:35,Shura,Shura,What's It Gonna Be? - Single,2017-01-08 14:10
Won't Go Back,2:20,Steve Martin & Edie Brickell,Steve Martin & Edie Brickell,So Familiar,2017-01-08 14:13
Fire Escape,3:25,Andrew McMahon In the Wilderness,Andrew McMahon In the Wilderness,Fire Escape - Single,2017-01-08 14:18
Hell No,2:55,Ingrid Michaelson,Ingrid Michaelson,Hell No - Single,2017-01-08 14:21
Pieces (Radio Mix),3:40,Rob Thomas,Rob Thomas,Pieces (Radio Mix) - Single,2017-01-08 14:25
"Nocturne in C-Sharp Minor, Op. 27 No. 1",5:41,Angela Hewitt,Angela Hewitt,Chopin: Nocturnes & Impromptus,2017-01-08 21:00
"Nocturne in D-Flat Major, Op. 27 No. 2",6:05,Angela Hewitt,Angela Hewitt,Chopin: Nocturnes & Impromptus,2017-01-08 21:07
"Nocturne in B Major, Op. 32 No. 1",4:48,Angela Hewitt,Angela Hewitt,Chopin: Nocturnes & Impromptus,2017-01-08 21:12
"Nocturne in A-Flat Major, Op. 32, No. 2",5:21,Angela Hewitt,Angela Hewitt,Chopin: Nocturnes & Impromptus,2017-01-08 21:18
"Nocturne in G Minor, Op. 37 No. 1",6:19:00,Angela Hewitt,Angela Hewitt,Chopin: Nocturnes & Impromptus,2017-01-08 21:24
"Nocturne in G Major, Op. 37 No. 2",4:57,Angela Hewitt,Angela Hewitt,Chopin: Nocturnes & Impromptus,2017-01-08 21:29
"Pleading, Op. 48, No. 1",2:50,Benjamin Luxon,Benjamin Luxon & David Willison,Elgar & Delius: Songs,2017-01-09 8:03
"After, Op. 31, No. 1",2:45,Benjamin Luxon,Benjamin Luxon & David Willison,Elgar & Delius: Songs,2017-01-09 8:06
"A Song of Flight, Op. 31, No. 2",2:30,Benjamin Luxon,Benjamin Luxon & David Willison,Elgar & Delius: Songs,2017-01-09 8:08
Arabian Serenade,2:11,Benjamin Luxon,Benjamin Luxon & David Willison,Elgar & Delius: Songs,2017-01-09 8:10
"Song Cycle, Op. 59: No. 3. Oh, Soft was the song",1:33,Benjamin Luxon,Benjamin Luxon & David Willison,Elgar & Delius: Songs,2017-01-09 8:12
"Song Cycle, Op. 59: No. 5. Was It some Golden Star?",2:06,Benjamin Luxon,Benjamin Luxon & David Willison,Elgar & Delius: Songs,2017-01-09 8:14
"Song Cycle, Op. 59: No. 6. Twilight",3:00,Benjamin Luxon,Benjamin Luxon & David Willison,Elgar & Delius: Songs,2017-01-09 8:17
Like to the Damask Rose,3:37,Benjamin Luxon,Benjamin Luxon & David Willison,Elgar & Delius: Songs,2017-01-09 8:21
